"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Comment","Description_1","DigiKey_Part_Number","MANUFACTURER","MF","MFG","MP","MPN","PACKAGE","Description"
"D1","1","IMD_FAULT","","","","LED_THT:LED_D5.0mm","~","","","","","","","","","","Light emitting diode"
"D2,D3,D8","3","SB560-3G","","","","Diode_THT:D_DO-201_P15.24mm_Horizontal","https://diotec.com/request/datasheet/sb560-3g.pdf","","","","","","","","","","75V 0.15A Fast switching Diode, SOD-523"
"D4,D5,D6","3","BMS_FAULT","","","","LED_THT:LED_D5.0mm","~","","","","","","","","","","Light emitting diode"
"D7","1","SDC Return","","","","LED_THT:LED_D5.0mm","~","","","","","","","","","","Light emitting diode"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","","","Mounting Hole without connection"
"J1","1","DT15-12PA","","","","MODELS:12P-DeutschDT","","DT15-12PA","Connector Receptacle Header, 12-Position, Flange, PCB Mount, Male, DT Series | TE Connectivity DT15-12PA","1734-1027-ND","","TE Connectivity","","DT15-12PA","DT15-12PA","","DEUTSCH Automotive; DT RECP ASM"
"J2","1","ESTOP","","","","MODELS:2pMinifitJR","https://www.molex.com/en-us/products/part-detail-pdf/39310020?display=pdf","","","","","","Molex ","","0469990138 ","",""
"J3","1","HVIL","","","","MODELS:2pMinifitJR","https://www.molex.com/en-us/products/part-detail-pdf/39310020?display=pdf","","","","","","Molex ","","0469990138 ","",""
"J4","1","to Lead Acid Batt","","","","MODELS:2pMinifitJR","https://www.molex.com/en-us/products/part-detail-pdf/39310020?display=pdf","","","","","","Molex ","","0469990138 ","",""
"J5","1","BatteryTender","","","","MODELS:2pMinifitJR","https://www.molex.com/en-us/products/part-detail-pdf/39310020?display=pdf","","","","","","Molex ","","0469990138 ","",""
"J7","1","J1772","","","","MODELS:2pMinifitJR","https://www.molex.com/en-us/products/part-detail-pdf/39310020?display=pdf","","","","","","Molex ","","0469990138 ","",""
"J8","1","874271042","","","","MODELS:10pMinifit","","","Connector Header Through Hole 10 position 0.165 (4.20mm)","WM3584-ND","Molex","Molex","","874271042","","",""
"JP1","1","Valeo CP","","","","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","Jumper, 2-pole, open"
"JP2","1","Orion CP","","","","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","Jumper, 2-pole, open"
"JP3","1","Valeo CC","","","","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","Jumper, 2-pole, open"
"JP4","1","Orion CC","","","","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","Jumper, 2-pole, open"
"K1,K2","2","G6B-2214P-US DC12","","","","MODELS:RELAY_G6B-2114P-US_OMR","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6b.pdf","","","","","","","","","",""
"Q1,Q3","2","PMOS IRF9540","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.vishay.com/docs/91078/91078.pdf","","","","","","Infineon Technologies ","","IRF9540NPBF ","","P-MOSFET transistor, drain/source/gate"
"R1,R2,R3,R5,R6","5","560","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","YAGEO ","","MFR-25FTF52-560R ","","Resistor, US symbol"
"R8,R11","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","Resistor, US symbol"
"R9","1","120r","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","Resistor, US symbol"
"R10,R12","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","Resistor, US symbol"
"S1","1","ST141D00","","","","MODELS:20ASwitch","","","Toggle Switch, STI Series, SPST, ON-OFF, Round Actuator, 20A, 125VAC, .250 QC | E-Switch ST141D00","EG4810-ND","","","E-Switch","","ST141D00","",""
"SW2,SW3","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","","","","Push button switch, generic, two pins"
