"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacture_Part_Number","MANUFACTURER"
"Q1,Q2,Q3","3","PMOS IRF9540","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.mouser.com/ProductDetail/Vishay-Siliconix/IRF9540?qs=zorda86t5M9IAcHgw5xC5w%3D%3D&srsltid=AfmBOooaJewG-WyGDa8SQuIsCQEyb0eq8ivrQBJg8BAFvDT6bzHACESo","IRF9540 ","Vishay / Siliconix"
"R1,R2,R3,R6,R8,R11","6","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.mouser.com/ProductDetail/SEI-Stackpole/CF14JT1K00?qs=FESYatJ8odLLAkjsom%2FJYQ%3D%3D&mgh=1&","CF14JT1K00","Stackpole Electronics"
"J1","1","39281123","","","","1MyCustomLibrary:MOLEX_39281123","https://www.mouser.com/ProductDetail/Molex/39-28-1123?qs=EaMIwIL37xzCyl5w6av%252BuA%3D%3D&srsltid=AfmBOoqDmy7eq_1bQ4rhMDhEw2e9tQZWceOA55QJwRl5TfGGUvycrbZi","39281123","Molex"
"J4","1","39281083","","","","1MyCustomLibrary:MOLEX_39281083","https://www.mouser.com/ProductDetail/Molex/39-28-1083?qs=orQbfqMgxgWE1Pu2XYbwgg%3D%3D&srsltid=AfmBOoqI1OL6fpnGsW7wWuf8N2v32MdwNW-3ksxkCjpcKiUmWF2iX76X","39281083","Molex"
"J5","1","39281063","","","","1MyCustomLibrary:MOLEX_39281063","https://www.mouser.com/ProductDetail/Molex/39-28-1063?qs=LQQHZ4xw2XBs0rw8%252B79P%252Bg%3D%3D&srsltid=AfmBOop9YhPSMoxyugyfYAWnv62vhUF6JIkNSJT3oRjxh-WufbHl4cCX","39281063","Molex"
"R4,R7,R9","3","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT470R/1741440","CF14JT470R","Stackpole Electronics"
"R5,R10,R12","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10K0/1741265","CF14JT10K0","Stackpole Electronics"
"R13,R14,R15","3","0","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CD14ZT0R00/1741230","CD14ZT0R00","Stackpole Electronics"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CD14ZT0R00/1741230","CD14ZT0R00","Stackpole Electronics"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3F-1000/33150?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLliCdBzKkT3OTSh3MlQIgU_Eq&gclid=CjwKCAjwyMnNBhBNEiwA-Kcgu5E28s-JL8cSeUTaAR1P3xUycXtha_aX9XDPkmxZVyvg3SSsvFovxxoCT7IQAvD_BwE","B3F-1000","Omron Electronics Inc"
"D4,D5,D6","3","DEBUG LED","","","","LED_THT:LED_D5.0mm","https://www.digikey.com/en/products/detail/kingbright/WP7113ID/1747663","WP7113ID","Kingbright"
"K1,K2,K4","3","G6B-2214P-US DC12","","","","1MyCustomLibrary:RELAY_G6B-2114P-US_OMR","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g6b.pdf","G6B-2214P-US DC12","Omron Electronics"
"D1,D2,D3,D7,D8","5","SB560-3G","","","","Diode_THT:D_DO-201_P15.24mm_Horizontal","https://diotec.com/request/datasheet/sb560-3g.pdf","SB560-3G","Diotec Semiconductor"
